國文,英文,數學,地理,歷史
75,74,75,98,75
74,59,57,51,78
88,91,55,86,64
91,62,61,61,92
89,50,86,94,90
82,82,76,86,94
53,62,63,56,68
87,86,57,96,93
73,80,87,51,51
77,97,88,76,53
100,98,99,80,89
86,81,97,83,92
62,75,61,77,84
70,84,73,53,84
61,91,89,91,60
80,57,58,96,54
63,68,92,83,70
79,83,94,67,61
72,55,51,84,66
65,80,86,86,69
85,58,94,98,78
72,64,69,93,51
50,52,100,58,71
77,60,86,65,97
87,59,59,85,87
94,73,57,95,84
93,78,82,72,79
83,92,94,52,90
76,83,87,69,64
60,61,67,52,69
65,98,66,58,63
89,85,56,67,78
71,55,58,55,78
82,75,70,65,72
93,51,52,60,76
50,67,59,73,65
77,82,70,88,72
79,56,71,75,99
80,93,66,71,87
61,65,70,63,85
89,52,65,84,61
73,52,68,60,63
50,79,69,90,65
61,59,72,67,57
77,67,79,76,87
69,53,81,62,87
59,61,92,52,68
57,56,86,56,72
66,80,50,85,97
72,67,88,100,61
